id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
202121,26,17.69,1.51,25.1,1759,1.462,0.769
187742,14,8.13,9.6,24.3,1522,2.214,1.286
59377,26,31.39,-24.87,21.4,670,2.308,1.423
180672,6,7.65,13.64,27.2,401,1.5,0.667
179178,7,36.23,14.54,28.3,513,2.286,1.429
179909,4,14.96,14.09,28.4,255,1.5,0.5
187702,17,-10.08,9.6,25.4,1818,1.824,0.941
87737,24,36.03,-8.25,19.1,1232,2.125,1.208
196576,7,44.87,4.66,27.9,285,1.857,1.143
192462,20,-11.23,6.9,25.8,3891,1.45,1.053
70542,17,19.92,-18.13,22,564,2.353,1.235
89316,23,31.04,-7.35,25.8,951,2.13,1.348
194072,20,-3.86,6,26.6,1462,1.5,1.053
176017,3,4.41,16.33,29.3,208,2.333,1.333
98866,23,13.7,-1.96,24.2,1910,1.522,1
70562,16,29.37,-18.13,21,742,2.188,1.312
91719,21,37.23,-6,21.1,864,1.952,1.095
81385,13,20.55,-11.84,20.8,1255,1.923,1.077
94104,25,32.25,-4.66,23.5,927,2.12,1.24
190983,13,39.42,7.8,10.2,1172,1.846,1.077
70566,20,31.26,-18.13,17.6,816,2.25,1.35
183783,14,-0.55,11.84,28.2,815,2.286,1.286
188525,16,4.25,9.15,26.5,1162,2.062,1.25
174470,3,-0.82,17.23,29.2,142,1.667,0.667
169167,3,3.99,20.38,25.9,45,3,2
189310,22,0.84,8.7,25.6,1292,2.045,1.273
76739,18,38.55,-14.54,24.4,1067,2.222,1.278
190980,11,38.06,7.8,16.3,965,1.909,0.909
81376,13,16.42,-11.84,19.2,1331,2,1.231
179174,4,34.37,14.54,28.5,389,1.5,0.5
196459,21,-7.85,4.66,24.8,3084,1.524,1.1
79808,12,16.17,-12.74,18.5,1305,2,1.167
77461,14,13.11,-14.09,23.3,582,1.857,1
198921,24,20.2,3.31,24.8,1728,1.5,0.833
199743,25,29.56,2.86,23.5,1722,1.6,0.8
190140,16,17.42,8.25,27,1086,2.062,1
98863,23,12.35,-1.96,22.5,1925,1.478,0.909
82971,20,26.78,-10.94,20.3,1167,2.05,1.2
189416,4,49.01,8.7,26.2,117,2.25,2
183036,7,16.75,12.29,29.1,511,1.714,0.857
85312,13,14.51,-9.6,24.5,730,1.692,0.923
202951,30,30.24,1.06,24.8,1057,1.7,0.933
